State,Year,Solar_Capacity_MW,Total_Subsidies_kUSD,GDP_Millions,Total_Battery_MW,Bank_Loan_Interest_Rate,Solar_GHI_Score,Median_HH_Income,Electricity_Price_cents_kWh,Population_Density,EV_Market_Share_Percent,RPS_Target_Percent,Carbon_Intensity_Score
AK,2014,1.9,26,53551,0.0,4.17,3.9,68000,23,1,0.5,10,4.5
AK,2015,1.9,26,53551,0.0,3.85,3.9,68000,23,1,0.5,10,4.5
AK,2016,1.9,26,53551,0.0,3.65,3.9,68000,23,1,0.5,10,4.5
AK,2017,1.9,26,53551,0.0,3.99,3.9,68000,23,1,0.5,10,4.5
AK,2018,2.9,25,54762,0.0,4.54,3.9,68000,23,1,0.5,10,4.5
AK,2019,5.4,20,53312,0.0,3.94,3.9,68000,23,1,0.5,10,4.5
AK,2020,7.9,15,51862,0.0,3.11,3.9,68000,23,1,0.5,10,4.5
AK,2021,10.7,8,59363,0.0,2.96,3.9,68000,23,1,0.5,10,4.5
AK,2022,12.6,8,65683,0.0,5.34,3.9,68000,23,1,0.5,10,4.5
AK,2023,15.4,2,68233,0.0,6.81,3.9,68000,23,1,0.5,10,4.5
AK,2024,15.4,2,68233,0.0,6.5,3.9,68000,23,1,0.5,10,4.5
AL,2014,0.0,20572,216616,0.0,4.17,4.5,68000,14,150,0.5,10,4.5
AL,2015,0.0,20572,216616,0.0,3.85,4.5,68000,14,150,0.5,10,4.5
AL,2016,0.0,20572,216616,0.0,3.65,4.5,68000,14,150,0.5,10,4.5
AL,2017,0.0,20572,216616,0.0,3.99,4.5,68000,14,150,0.5,10,4.5
AL,2018,0.2,10573,226264,0.0,4.54,4.5,68000,14,150,0.5,10,4.5
AL,2019,0.5,7196,231061,0.0,3.94,4.5,68000,14,150,0.5,10,4.5
AL,2020,0.7,3819,235859,0.0,3.11,4.5,68000,14,150,0.5,10,4.5
AL,2021,0.8,5983,260325,0.0,2.96,4.5,68000,14,150,0.5,10,4.5
AL,2022,0.9,6388,286873,0.0,5.34,4.5,68000,14,150,0.5,10,4.5
AL,2023,1.4,7294,309544,0.0,6.81,4.5,68000,14,150,0.5,10,4.5
AL,2024,1.4,12227,325345,0.0,6.5,4.5,68000,14,150,0.5,10,4.5
AR,2014,9.1,67255,123883,0.0,4.17,4.5,68000,14,150,0.5,10,4.5
AR,2015,9.1,67255,123883,0.0,3.85,4.5,68000,14,150,0.5,10,4.5
AR,2016,9.1,67255,123883,0.0,3.65,4.5,68000,14,150,0.5,10,4.5
AR,2017,9.1,67255,123883,0.0,3.99,4.5,68000,14,150,0.5,10,4.5
AR,2018,17.1,68033,129214,0.0,4.54,4.5,68000,14,150,0.5,10,4.5
AR,2019,39.4,67384,132680,0.0,3.94,4.5,68000,14,150,0.5,10,4.5
AR,2020,61.7,66735,136146,0.0,3.11,4.5,68000,14,150,0.5,10,4.5
AR,2021,110.3,66628,154262,0.0,2.96,4.5,68000,14,150,0.5,10,4.5
AR,2022,174.0,68298,167864,0.0,5.34,4.5,68000,14,150,0.5,10,4.5
AR,2023,245.0,68134,178115,17.9,6.81,4.5,68000,14,150,0.5,10,4.5
AR,2024,328.9,69589,188340,24.4,6.5,4.5,68000,14,150,0.5,10,4.5
AZ,2014,1089.1,122701,333099,0.0,4.17,6.5,68000,14,150,0.5,10,4.5
AZ,2015,1089.1,122701,333099,0.0,3.85,6.5,68000,14,150,0.5,10,4.5
AZ,2016,1089.1,122701,333099,0.0,3.65,6.5,68000,14,150,0.5,10,4.5
AZ,2017,1089.1,122701,333099,0.0,3.99,6.5,68000,14,150,0.5,10,4.5
AZ,2018,1301.5,86837,353671,0.0,4.54,6.5,68000,14,150,0.5,10,4.5
AZ,2019,1503.6,86149,372087,0.0,3.94,6.5,68000,14,150,0.5,10,4.5
AZ,2020,1705.7,85460,390503,0.0,3.11,6.5,68000,14,150,0.5,10,4.5
AZ,2021,2013.9,96160,438136,0.0,2.96,6.5,68000,14,150,0.5,10,4.5
AZ,2022,2359.1,105755,488722,0.0,5.34,6.5,68000,14,150,0.5,10,4.5
AZ,2023,2728.9,132778,530105,65.0,6.81,6.5,68000,14,150,0.5,10,4.5
AZ,2024,2943.9,124088,570089,102.8,6.5,6.5,68000,14,150,0.5,10,4.5
CA,2014,6603.4,1014000,2740550,0.0,4.17,5.6,91000,30,253,4.1,60,1.5
CA,2015,6603.4,1014000,2740550,0.0,3.85,5.6,91000,30,253,4.1,60,1.5
CA,2016,6603.4,1014000,2740550,0.0,3.65,5.6,91000,30,253,4.1,60,1.5
CA,2017,6603.4,1014000,2740550,0.0,3.99,5.6,91000,30,253,4.1,60,1.5
CA,2018,7836.7,856719,2899531,0.0,4.54,5.6,91000,30,253,4.1,60,1.5
CA,2019,9175.8,809694,2986229,0.0,3.94,5.6,91000,30,253,4.1,60,1.5
CA,2020,10514.9,762668,3072928,0.0,3.11,5.6,91000,30,253,4.1,60,1.5
CA,2021,12154.2,694936,3418256,0.0,2.96,5.6,91000,30,253,4.1,60,1.5
CA,2022,14176.5,653451,3618290,0.0,5.34,5.6,91000,30,253,4.1,60,1.5
CA,2023,16605.8,716960,3827007,1098.9,6.81,5.6,91000,30,253,4.1,60,1.5
CA,2024,18221.3,632491,4048108,1830.7,6.5,5.6,91000,30,253,4.1,60,1.5
CO,2014,319.6,23094,350209,0.0,4.17,4.5,68000,14,150,1.7,10,4.5
CO,2015,319.6,23094,350209,0.0,3.85,4.5,68000,14,150,1.7,10,4.5
CO,2016,319.6,23094,350209,0.0,3.65,4.5,68000,14,150,1.7,10,4.5
CO,2017,319.6,23094,350209,0.0,3.99,4.5,68000,14,150,1.7,10,4.5
CO,2018,352.2,22768,373923,0.0,4.54,4.5,68000,14,150,1.7,10,4.5
CO,2019,401.9,58182,385452,0.0,3.94,4.5,68000,14,150,1.7,10,4.5
CO,2020,451.6,93595,396981,0.0,3.11,4.5,68000,14,150,1.7,10,4.5
CO,2021,709.5,86963,445781,0.0,2.96,4.5,68000,14,150,1.7,10,4.5
CO,2022,848.9,99614,499197,0.0,5.34,4.5,68000,14,150,1.7,10,4.5
CO,2023,1077.7,128795,533269,13.4,6.81,4.5,68000,14,150,1.7,10,4.5
CO,2024,1184.8,118498,557633,16.6,6.5,4.5,68000,14,150,1.7,10,4.5
CT,2014,329.5,153039,273875,0.0,4.17,4.5,68000,28,740,0.5,48,4.5
CT,2015,329.5,153039,273875,0.0,3.85,4.5,68000,28,740,0.5,48,4.5
CT,2016,329.5,153039,273875,0.0,3.65,4.5,68000,28,740,0.5,48,4.5
CT,2017,329.5,153039,273875,0.0,3.99,4.5,68000,28,740,0.5,48,4.5
CT,2018,413.0,119328,280535,0.0,4.54,4.5,68000,28,740,0.5,48,4.5
CT,2019,506.3,145100,279642,0.0,3.94,4.5,68000,28,740,0.5,48,4.5
CT,2020,599.6,170871,278748,0.0,3.11,4.5,68000,28,740,0.5,48,4.5
CT,2021,695.5,193612,297366,0.0,2.96,4.5,68000,28,740,0.5,48,4.5
CT,2022,781.7,189311,321625,0.0,5.34,4.5,68000,28,740,0.5,48,4.5
CT,2023,964.6,190557,341852,0.0,6.81,4.5,68000,28,740,0.5,48,4.5
CT,2024,1118.7,170959,356835,7.3,6.5,4.5,68000,28,740,0.5,48,4.5
DC,2014,37.5,13901,134299,0.0,4.17,4.5,101000,14,11000,2.6,100,4.5
