State,Year,Solar_Capacity_MW,Total_Subsidies_kUSD,GDP_Millions,Total_Battery_MW,Bank_Loan_Interest_Rate,Solar_GHI_Score,Median_HH_Income,Electricity_Price_cents_kWh,Population_Density,EV_Market_Share_Percent,RPS_Target_Percent,Carbon_Intensity_Score
AK,2014,1.936,26.0,53550.9,0.0,4.17,3.9,68000.0,23.0,1.0,0.5,10.0,4.5
AK,2015,1.936,26.0,53550.9,0.0,3.85,3.9,68000.0,23.0,1.0,0.5,10.0,4.5
AK,2016,1.936,26.0,53550.9,0.0,3.65,3.9,68000.0,23.0,1.0,0.5,10.0,4.5
AK,2017,1.936,26.0,53550.9,0.0,3.99,3.9,68000.0,23.0,1.0,0.5,10.0,4.5
AK,2018,2.949,25.0,54762.0,0.0,4.54,3.9,68000.0,23.0,1.0,0.5,10.0,4.5
AK,2019,5.4295,20.0,53311.85,0.0,3.94,3.9,68000.0,23.0,1.0,0.5,10.0,4.5
AK,2020,7.91,15.0,51861.7,0.0,3.11,3.9,68000.0,23.0,1.0,0.5,10.0,4.5
AK,2021,10.706,8.0,59363.0,0.0,2.96,3.9,68000.0,23.0,1.0,0.5,10.0,4.5
AK,2022,12.619,8.0,65682.5,0.0,5.34,3.9,68000.0,23.0,1.0,0.5,10.0,4.5
AK,2023,15.382,2.0,68232.7,0.0,6.81,3.9,68000.0,23.0,1.0,0.5,10.0,4.5
AK,2024,15.382,2.0,68232.7,0.0,6.5,3.9,68000.0,23.0,1.0,0.5,10.0,4.5
AL,2014,0.041,20572.0,216615.5,0.0,4.17,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AL,2015,0.041,20572.0,216615.5,0.0,3.85,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AL,2016,0.041,20572.0,216615.5,0.0,3.65,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AL,2017,0.041,20572.0,216615.5,0.0,3.99,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AL,2018,0.183,10573.0,226263.8,0.0,4.54,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AL,2019,0.45249999999999996,7196.0,231061.4,0.0,3.94,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AL,2020,0.722,3819.0,235859.0,0.0,3.11,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AL,2021,0.763,5983.0,260325.0,0.0,2.96,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AL,2022,0.8889999999999999,6388.0,286873.3,0.0,5.34,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AL,2023,1.4109999999999998,7294.0,309543.8,0.0,6.81,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AL,2024,1.392,12227.0,325345.1,0.0,6.5,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AR,2014,9.117,67255.0,123882.6,0.0,4.17,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AR,2015,9.117,67255.0,123882.6,0.0,3.85,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AR,2016,9.117,67255.0,123882.6,0.0,3.65,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AR,2017,9.117,67255.0,123882.6,0.0,3.99,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AR,2018,17.076,68033.0,129213.8,0.0,4.54,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AR,2019,39.4065,67384.0,132679.85,0.0,3.94,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AR,2020,61.737,66735.0,136145.9,0.0,3.11,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AR,2021,110.348,66628.0,154261.8,0.0,2.96,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
AR,2022,174.017,68298.0,167863.5,0.0,5.34,4.5,68000.0,14.0,150.0,0.5,10.0,4.5
