Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2024,162,Aiken Electric Coop Inc,SC,SC,293,.,.,.,293,0.0,.,.,.,0.0,"29,492",.,.,.,"29,492",0.0,.,.,.,0.0,0,.,.,.,0,463,.,.,.,463,0,.,.,.,0,"3,945",.,.,.,"3,945",10.000,.,.,.,
2024,189,PowerSouth Energy Cooperative,AL,SOCO,"2,323",.,.,.,"2,323",1.7,.,.,.,1.7,"27,870",.,.,.,"27,870",1.7,.,.,.,1.7,241,.,.,.,241,517,.,.,.,517,241,.,.,.,241,517,.,.,.,517,12.000,.,.,.,
2024,195,Alabama Power Co,AL,SOCO,"4,044",738,.,.,"4,782",9.8,0.2,.,.,10.0,"33,257","3,690",.,.,"36,947",9.8,0.2,.,.,10.0,830,62,.,.,891,942,151,.,.,"1,092",830,62,.,.,891,942,151,.,.,"1,092",8.220,5.000,.,.,
2024,207,Alameda Municipal Power,CA,CISO,44,119,0,.,163,0.0,0.0,0.0,.,0.0,557,"1,758",0,.,"2,315",0.0,0.0,0.0,.,0.0,70,27,0,.,98,93,47,0,.,140,70,27,0,.,98,93,47,0,.,140,13.568,14.837,0.000,.,
2024,230,Albany Utility Board,GA,SOCO,45,.,.,.,45,0.0,.,.,.,0.0,45,.,.,.,45,0.0,.,.,.,0.0,61,.,.,.,61,.,.,.,.,.,61,.,.,.,61,.,.,.,.,.,1.000,.,.,.,
2024,295,City of Alexandria - (MN),MN,MISO,215,394,"1,396",.,"2,004",0.0,0.1,0.3,.,0.4,"3,710","5,144","18,237",.,"27,090",0.0,0.1,0.3,.,0.4,18,20,72,.,109,22,25,87,.,134,18,20,72,.,109,22,25,87,.,134,17.278,13.066,13.066,.,
2024,554,City of Ames - (IA),IA,MISO,274,19,.,.,294,0.0,0.0,.,.,0.1,"2,742",165,.,.,"2,907",0.0,0.0,.,.,0.1,240,2,.,.,242,29,2,.,.,31,240,2,.,.,242,29,2,.,.,31,9.700,9.700,.,.,
2024,590,City of Anaheim - (CA),CA,CISO,"2,229","2,437","1,044",.,"5,710",0.5,0.6,0.3,.,1.4,"25,803","27,871","11,277",.,"64,951",0.5,0.6,0.3,.,1.4,261,333,143,.,737,"1,813",578,249,.,"2,640",261,333,143,.,737,"1,813",578,249,.,"2,640",11.574,11.437,10.798,.,
2024,691,City of Anoka,MN,MISO,110,321,0,0,431,1.4,0.0,0.0,0.0,1.4,336,"2,432",0,0,"2,769",1.4,0.0,0.0,0.0,1.4,4,31,0,0,34,7,108,0,0,115,4,31,0,0,34,7,108,0,0,115,12.000,14.000,0.000,0.000,
2024,733,Appalachian Power Co,VA,PJM,"64,691","7,680",472,.,"72,843",21.1,0.8,0.0,.,21.9,"4,95,562","68,232","4,190",.,"5,67,984",21.1,0.8,0.0,.,21.9,"7,513",737,45,.,"8,295","5,786",706,43,.,"6,535","7,750","1,319",81,.,"9,150","5,968","1,585",97,.,"7,650",7.700,8.900,8.900,.,
2024,733,Appalachian Power Co,WV,PJM,"1,502",.,.,.,"1,502",0.7,.,.,.,0.7,"31,614",.,.,.,"31,614",0.7,.,.,.,0.7,"1,557",.,.,.,"1,557","1,017",.,.,.,"1,017","1,557",.,.,.,"1,557","1,017",.,.,.,"1,017",21.100,.,.,.,
2024,803,Arizona Public Service Co,AZ,AZPS,"1,11,658","2,12,427",.,.,"3,24,085",55.7,40.6,.,.,96.3,"14,72,417","30,07,052",.,.,"44,79,469",55.7,40.6,.,.,96.3,"12,435","14,847",.,.,"27,281","13,351","13,456",.,.,"26,806","12,435","14,847",.,.,"27,281","13,351","13,456",.,.,"26,806",13.200,14.200,.,.,
2024,814,Entergy Arkansas LLC,AR,MISO,"1,04,528","52,617","91,024",.,"2,48,169",18.9,8.2,14.5,.,41.6,"15,56,037","5,90,295","7,31,597",.,"28,77,929",18.9,8.2,14.5,.,41.6,"18,640","5,762","6,561",.,"30,963","7,468","3,258","5,664",.,"16,390","18,640","5,762","6,561",.,"30,963","7,468","3,258","5,664",.,"16,390",14.890,11.220,8.040,.,
2024,924,"Associated Electric Coop, Inc",MO,SWPP,"5,883",466,3,0,"6,352",1.3,1.1,0.0,0.0,2.4,"1,16,915","6,997",42,0,"1,23,954",1.3,1.1,0.0,0.0,2.4,"1,772",203,3,0,"1,978",154,0,0,0,154,"1,772",203,3,0,"1,978",154,0,0,0,154,20.000,14.000,14.000,0.000, 
2024,963,Atlantic City Electric Co,NJ,PJM,"19,681","31,843",.,.,"51,524",3.4,5.5,.,.,8.9,"1,59,081","4,21,162",.,.,"5,80,243",3.4,5.5,.,.,8.9,"8,991","18,615",.,.,"27,606",8,5,.,.,13,"8,991","18,615",.,.,"27,606",8,5,.,.,13,8.100,13.200,.,.,
2024,1009,City of Austin - (MN),MN,MISO,174,442,.,.,615,0.0,0.1,.,.,0.1,"2,084","5,300",.,.,"7,384",0.0,0.1,.,.,0.1,67,78,.,.,145,59,98,.,.,157,67,78,.,.,145,59,98,.,.,157,12.000,12.000,.,.,
2024,1015,Austin Energy,TX,ERCO,"27,585","33,708","11,236",0,"72,529",9.1,13.5,4.5,0.0,27.2,"5,24,119","5,39,325","1,79,775",0,"12,43,219",9.1,13.5,4.5,0.0,27.2,"13,886","2,334",778,0,"16,998","5,172","2,194",731,0,"8,097","13,886","2,334",778,0,"16,998","5,172","2,194",731,0,"8,097",19.000,16.000,16.000,0.000, 
2024,1050,City of Azusa,CA,CISO,217,"2,332",27,.,"2,576",0.1,0.7,0.0,.,0.8,"2,267","30,447",368,.,"33,082",0.1,0.7,0.0,.,0.8,100,"1,052",24,.,"1,176",25,303,4,.,332,100,"1,052",24,.,"1,176",25,303,4,.,332,15.344,14.192,13.750,.,
2024,1167,Baltimore Gas & Electric Co,MD,PJM,"2,56,323","2,32,000",0,0,"4,88,323",56.5,124.8,0.0,0.0,181.2,"6,81,722","23,45,763",0,0,"30,27,485",56.5,124.8,0.0,0.0,181.2,"44,747","81,980",0,0,"1,26,727","25,441","21,904",0,0,"47,344","44,747","81,980",0,0,"1,26,727","25,441","21,904",0,0,"47,344",2.660,10.111,0.000,0.000,https://www.psc.state.md.us/official-filings/
2024,1251,Barron Electric Coop,WI,MISO,358,171,0,0,529,0.1,0.0,0.0,0.0,0.1,"5,517","2,266",0,0,"7,783",0.1,0.0,0.0,0.0,0.1,85,1,0,0,86,78,2,0,0,80,85,1,0,0,86,78,2,0,0,80,15.411,13.250,0.000,0.000,
2024,1273,"Bartlett Electric Coop, Inc",TX,ERCO,13,0,0,0,13,0.0,0.0,0.0,0.0,0.0,"1,375",0,0,0,"1,375",0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,1,0,0,0,1,17,0,0,0,17,1,0,0,0,1,13.560,0.000,0.000,0.000,https://www.bartlettec.coop
2024,1366,City of Bay City - (MI),MI,MISO,873,"2,483",0,0,"3,356",0.1,0.3,0.0,0.0,0.4,"5,468","28,320",0,0,"33,788",0.1,0.2,0.0,0.0,0.3,171,118,0,0,289,93,142,0,0,235,170,118,0,0,288,94,142,0,0,236,8.650,12.980,0.000,0.000,www.BayCityEnergySmart.org
2024,1529,"Beltrami Electric Coop, Inc",MN,MISO,"4,995",682,0,0,"5,677",0.8,0.1,0.0,0.0,0.9,"72,135","8,464",0,0,"80,600",0.8,0.1,0.0,0.0,0.9,312,69,0,0,382,167,4,0,0,171,312,69,0,0,382,167,4,0,0,171,14.497,12.786,0.000,0.000,
2024,1579,PUD No 1 of Benton County,WA,BPAT,656,"1,714","1,386",.,"3,756",0.2,1.0,0.4,.,1.5,"13,580","21,168","15,117",.,"49,865",0.2,1.0,0.4,.,1.5,298,304,195,.,797,259,138,40,.,436,298,304,195,.,797,259,138,40,.,436,15.000,12.340,11.080,.,
2024,1613,Berkeley Electric Coop Inc,SC,SC,610,962,0,0,"1,572",1.2,0.2,0.0,0.0,1.4,"6,241","9,620",0,0,"15,861",1.2,0.2,0.0,0.0,1.4,175,48,0,0,222,110,1,0,0,111,175,48,0,0,222,110,1,0,0,111,11.000,10.000,0.000,0.000,
2024,1723,"Big Bend Electric Coop, Inc",WA,BPAT,57,35,"1,604",0,"1,696",0.0,0.0,0.1,0.0,0.2,"1,344",454,"14,821",0,"16,618",0.0,0.0,0.1,0.0,0.1,55,11,480,0,546,37,8,210,0,255,55,11,480,0,546,37,8,210,0,255,23.450,13.080,9.240,0.000,Reported to BPA and included in their reports.
2024,1889,Blue Ridge Elec Member Corp - (NC),NC,DUK,146,.,.,.,146,1.0,.,.,.,1.0,"1,466",.,.,.,"1,466",1.0,.,.,.,1.0,22,.,.,.,22,.,.,.,.,.,22,.,.,.,22,.,.,.,.,.,7.000,.,.,.,
