Utility Characteristics,,,,Photovoltaic,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,
,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2014,84,A & N Electric Coop,VA,0.046,0.125,0.000,0.000,0.171,12,8,0,0,20,.,.,.,.,0.000,0.012,0.000,0.000,0.000,0.012,5,0,0,0,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.058,0.125,0.000,0.000,0.183,17,8,0,0,25,0,0,0,0,0
2014,97,Adams Electric Coop,IL,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.015,.,.,.,0.015,5,.,.,.,5,5.000,.,.,.,5.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.015,0.000,0.000,0.000,0.015,5,0,0,0,5,5,0,0,0,5
2014,108,Adams-Columbia Electric Coop,WI,0.310,0.050,.,.,0.360,36,2,.,.,38,230.000,26.000,.,.,256.000,0.025,0.050,.,.,0.075,2,1,.,.,3,10.000,62.000,.,.,72.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.335,0.100,0.000,0.000,0.435,38,3,0,0,41,240,88,0,0,328
2014,155,Agralite Electric Coop,MN,0.045,.,.,.,0.045,2,.,.,.,2,77.940,.,.,.,77.940,0.299,.,.,.,0.299,15,.,.,.,15,204.850,.,.,.,204.850,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.344,0.000,0.000,0.000,0.344,17,0,0,0,17,283,0,0,0,283
2014,162,Aiken Electric Coop Inc,SC,0.070,0.027,.,.,0.097,22,4,.,.,26,45.560,19.380,.,.,64.940,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.070,0.027,0.000,0.000,0.097,22,4,0,0,26,46,19,0,0,65
2014,176,Ajo Improvement Co,AZ,.,0.033,.,.,0.033,.,3,.,.,3,.,11.055,.,.,11.055,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3,0,11,0,0,11
2014,195,Alabama Power Co,AL,0.266,0.205,.,.,0.471,62,16,.,.,78,131.123,163.072,.,.,294.195,.,0.002,.,.,0.002,.,1,.,.,1,.,0.002,.,.,0.002,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.266,0.207,0.000,0.000,0.473,62,17,0,0,79,131,163,0,0,294
2014,201,City of Alachua - (FL),FL,0.001,0.039,.,.,0.040,1,2,.,.,3,0.000,6.330,.,.,6.330,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.001,0.039,0.000,0.000,0.040,1,2,0,0,3,0,6,0,0,6
2014,207,City of Alameda,CA,0.825,1.350,.,.,2.175,202,19,.,.,221,86.700,180.000,.,.,266.700,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.825,1.350,0.000,0.000,2.175,202,19,0,0,221,87,180,0,0,267
