Utility Level Data - States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2016,AK,219,Alaska Power and Telephone Co,AC,0.012,0.011,.,.,0.023,3,1,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.544,2.720,.,.,4.264,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.012,0.011,0.000,0.000,0.023,3,1,0,0,4,1.544,2.720,0.000,0.000,4.264
2016,AK,599,Anchorage Municipal Light and Power,AC,0.035,0.161,.,.,0.196,16,12,.,.,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.809,33.393,.,.,35.202,.,0.002,.,.,0.002,.,1,.,.,1,.,0.208,.,.,0.208,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.035,0.163,0.000,0.000,0.198,16,13,0,0,29,1.809,33.601,0.000,0.000,35.410
2016,AK,3522,Chugach Electric Assn Inc,AC,0.121,0.056,.,.,0.177,63,6,.,.,69,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,0.008,.,.,0.008,.,3,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.121,0.064,0.000,0.000,0.185,63,9,0,0,72,0.000,0.000,0.000,0.000,0.000
2016,AK,4329,"Copper Valley Elec Assn, Inc",DC,0.035,0.025,.,.,0.060,7,1,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.013,0.000,.,.,0.013,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.035,0.025,0.000,0.000,0.060,7,1,0,0,8,0.013,0.000,0.000,0.000,0.013
2016,AK,7353,Golden Valley Elec Assn Inc,AC,0.401,0.183,0.043,.,0.627,98,20,4,.,122,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29.227,8.495,0.000,.,37.722,0.013,0.009,.,.,0.022,4,2,.,.,6,0.608,0.000,.,.,0.608,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.414,0.192,0.043,0.000,0.649,102,22,4,0,128,29.835,8.495,0.000,0.000,38.330
2016,AK,11824,Matanuska Electric Assn Inc,AC,0.167,0.017,0.000,0.000,0.184,42,4,0,0,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.048,0.016,0.000,0.000,0.064,17,4,0,0,21,.,.,.,.,0.000,0.027,0.000,0.000,0.000,0.027,5,0,0,0,5,.,.,.,.,0.000,0.242,0.033,0.000,0.000,0.275,64,8,0,0,72,0.000,0.000,0.000,0.000,0.000
2016,AK,16955,City of Seward - (AK),AC,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,0.100,.,0.100,.,.,1,.,1,.,.,12.000,.,12.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.000,0.100,0.000,0.100,0,0,1,0,1,0.000,0.000,12.000,0.000,12.000
2016,AK,19558,Homer Electric Assn Inc,DC,0.153,0.031,0.000,0.000,0.184,52,7,0,0,59,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,58.278,5.321,0.000,0.000,63.599,0.108,0.015,0.000,0.000,0.123,31,4,0,0,35,9.665,3.579,0.000,0.000,13.244,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.261,0.046,0.000,0.000,0.307,83,11,0,0,94,67.943,8.900,0.000,0.000,76.843
2016,AL,3222,Central Alabama Electric Coop,DC,0.016,.,.,.,0.016,7,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.990,.,.,.,4.990,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.016,0.000,0.000,0.000,0.016,7,0,0,0,7,4.990,0.000,0.000,0.000,4.990
