Utility Characteristics,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2017,AK,219,Alaska Power and Telephone Co,NA,AC,0.012,0.021,.,.,0.033,3,2,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.897,4.300,.,.,7.197,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.012,0.021,0.000,0.000,0.033,3,2,0,0,5,2.897,4.300,0.000,0.000,7.197
2017,AK,599,Anchorage Municipal Light and Power,AMPL,AC,0.042,0.181,.,.,0.223,20,13,.,.,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.639,35.311,.,.,36.950,.,0.002,.,.,0.002,.,1,.,.,1,.,0.302,.,.,0.302,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.042,0.183,0.000,0.000,0.225,20,14,0,0,34,1.639,35.613,0.000,0.000,37.252
2017,AK,3522,Chugach Electric Assn Inc,CEA,AC,0.195,0.080,.,.,0.275,84,8,.,.,92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,0.008,.,.,0.008,.,3,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.195,0.088,0.000,0.000,0.283,84,11,0,0,95,0.000,0.000,0.000,0.000,0.000
2017,AK,4329,"Copper Valley Elec Assn, Inc",NA,DC,0.038,0.025,.,.,0.063,8,1,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.070,0.000,.,.,11.070,.,.,.,.,0.000,.,.,.,.,0,.,0.000,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.038,0.025,0.000,0.000,0.063,8,1,0,0,9,11.070,0.000,0.000,0.000,11.070
2017,AK,7353,Golden Valley Elec Assn Inc,NA,AC,0.528,0.232,0.043,.,0.803,128,22,4,.,154,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41.195,11.605,0.000,.,52.800,0.013,0.009,.,.,0.022,4,2,.,.,6,0.000,0.000,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.541,0.241,0.043,0.000,0.825,132,24,4,0,160,41.195,11.605,0.000,0.000,52.800
2017,AK,11824,Matanuska Electric Assn Inc,NA,AC,0.295,0.079,.,.,0.374,66,6,.,.,72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.058,0.021,.,.,0.079,18,5,.,.,23,.,.,.,.,0.000,0.027,.,.,.,0.027,5,.,.,.,5,.,.,.,.,0.000,0.380,0.100,0.000,0.000,0.480,89,11,0,0,100,0.000,0.000,0.000,0.000,0.000
2017,AK,16955,City of Seward - (AK),NA,AC,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
2017,AK,19558,Homer Electric Assn Inc,NA,DC,0.182,0.031,0.000,0.000,0.213,58,7,0,0,65,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,73.730,7.967,0.000,0.000,81.697,0.100,0.015,0.000,0.000,0.115,29,4,0,0,33,11.651,3.216,0.000,0.000,14.867,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.282,0.046,0.000,0.000,0.328,87,11,0,0,98,85.381,11.183,0.000,0.000,96.564
2017,AK,99999,Adjustment 2017,NA,,-0.038,-0.010,0.000,0.000,-0.048,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.038,-0.010,0.000,0.000,-0.048,.,.,.,.,.,.,.,.,.,.
2017,AL,3222,Central Alabama Electric Coop,AEC,DC,0.016,.,.,.,0.016,5,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.890,.,.,.,4.890,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.016,0.000,0.000,0.000,0.016,5,0,0,0,5,4.890,0.000,0.000,0.000,4.890
2017,AL,4430,"Covington Electric Coop, Inc",AEC,AC,0.021,.,.,.,0.021,4,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.000,.,.,.,12.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.021,0.000,0.000,0.000,0.021,4,0,0,0,4,12.000,0.000,0.000,0.000,12.000
2017,AL,17646,"Southern Pine Elec Coop, Inc",AEC,AC,0.001,.,.,0.000,0.001,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.001,.,.,.,0.001,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.002,0.000,0.000,0.000,0.002,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000
2017,AL,30517,"Pioneer Electric Coop, Inc - (AL)",AEC,AC,0.006,.,.,.,0.006,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.135,.,.,.,2.135,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.006,0.000,0.000,0.000,0.006,1,0,0,0,1,2.135,0.000,0.000,0.000,2.135
2017,AL,99999,Adjustment 2017,AEC,,-0.003,.,.,.,-0.003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.003,.,.,.,-0.003,.,.,.,.,.,.,.,.,.,.
2017,AR,814,Entergy Arkansas Inc,MISO,DC,1.409,0.620,.,.,2.029,236,41,.,.,277,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.002,0.008,.,.,0.010,1,3,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.411,0.628,0.000,0.000,2.039,237,44,0,0,281,0.000,0.000,0.000,0.000,0.000
