Utility Characteristics,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,Capacity MW,,,,,,Installations,,,,,Energy Sold Back MWh,,,,,Virtual Capacity- 1 MW and over (MW),,,,,Virtual Customers- 1 MW and over,,,,,Virtual Capacity- under 1 MW (MW),,,,,Virtual Customers- under 1 MW,,,,,PV-Paired Battery Capacity (MW),,,,,PV-Paired Installations,,,,,PV-Paired Energy Capacity (MWh),,,,,Not PV-Paired Battery Capacity (MW),,,,,Not PV-Paired Installations,,,,,Not PV-Paired Energy Capacity (MWh),,,,,Capacity MW,,,,,Installations,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Installations,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Installations,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2024,AK,219,Alaska Power and Telephone Co,NA,AC,0.011,0.020,.,.,0.031,3,2,.,.,5,1.100,2.740,.,.,3.840,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.005,.,.,.,0.005,1,.,.,.,1,.,.,.,.,0.000,0.016,0.020,0.000,0.000,0.036,4,2,0,0,6,1.100,2.740,0.000,0.000,3.840
2024,AK,3522,Chugach Electric Assn Inc,CEA,AC,4.660,0.693,.,.,5.353,922,66,.,.,988,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.010,0.010,.,.,0.020,1,4,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,4.670,0.703,0.000,0.000,5.373,923,70,0,0,993,0.000,0.000,0.000,0.000,0.000
2024,AK,7353,Golden Valley Elec Assn Inc,NA,AC,4.336,0.616,0.121,.,5.073,814,65,9,.,888,534.897,56.467,.,.,591.364,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.018,0.012,.,.,0.030,6,2,.,.,8,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,4.354,0.628,0.121,0.000,5.103,820,67,9,0,896,534.897,56.467,0.000,0.000,591.364
2024,AK,11824,Matanuska Electric Assn Inc,NA,AC,2.725,0.494,.,.,3.219,453,39,.,.,492,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.061,0.016,.,.,0.077,19,3,.,.,22,.,.,.,.,0.000,0.046,0.004,.,.,0.050,7,1,.,.,8,.,.,.,.,0.000,2.832,0.514,0.000,0.000,3.346,479,43,0,0,522,0.000,0.000,0.000,0.000,0.000
2024,AK,19558,Homer Electric Assn Inc,NA,DC,2.963,0.929,0.000,0.000,3.892,514,57,0,0,571,"1,323.272",202.025,0.000,0.000,"1,525.297",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.103,0.014,0.000,0.000,0.117,31,3,0,0,34,21.107,1.512,0.000,0.000,22.619,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.066,0.943,0.000,0.000,4.009,545,60,0,0,605,"1,344.379",203.537,0.000,0.000,"1,547.916"
2024,AK,99999,Adjustment 2024,NA,,-0.517,-0.162,0.000,0.000,-0.679,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.517,-0.162,0.000,0.000,-0.679,.,.,.,.,.,.,.,.,.,.
2024,AL,3222,Central Alabama Electric Coop,SOCO,DC,0.603,.,.,.,0.603,32,.,.,.,32,1.876,.,.,.,1.876,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.603,0.000,0.000,0.000,0.603,32,0,0,0,32,1.876,0.000,0.000,0.000,1.876
2024,AL,4327,Coosa Valley Electric Coop Inc,SOCO,AC,0.010,.,.,.,0.010,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,0.000,0.000,0.000,0.010,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000
2024,AL,4430,"Covington Electric Coop, Inc",SOCO,AC,0.113,.,.,.,0.113,14,.,.,.,14,46.800,.,.,.,46.800,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.113,0.000,0.000,0.000,0.113,14,0,0,0,14,46.800,0.000,0.000,0.000,46.800
